model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_8_8_nodes_full_data.csv,3,6,20,10000,0.8273,0.7458,0.7657,0.7082,0.7359,0.0206,1.0455,0.0123,0.4727,0.4522
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,3,6,20,10000,0.9107,0.8116,0.7829,0.8622,0.8206,0.0944,1.1876,0.0704,0.598,0.5035
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_0_18_nodes_full_data.csv,3,16,0,20000,0.997,0.9725,0.9799,0.9648,0.9723,0.2037,0.6573,0.0038,0.3906,0.5943
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_1_18_nodes_full_data.csv,3,16,0,20000,0.9221,0.8376,0.8483,0.8223,0.8351,0.0761,1.1704,0.1871,0.5227,0.4467
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_2_18_nodes_full_data.csv,3,16,0,20000,0.6127,0.5655,0.5863,0.4447,0.5058,0.1268,1.4013,0.1417,0.4428,0.316
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_3_18_nodes_full_data.csv,3,16,0,20000,0.8212,0.7407,0.7466,0.7288,0.7376,0.0026,1.0054,0.0214,0.4894,0.4868
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_4_18_nodes_full_data.csv,3,16,0,20000,0.8558,0.7742,0.7773,0.7686,0.7729,0.0635,0.8793,0.0746,0.4626,0.5261
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_5_18_nodes_full_data.csv,3,16,0,20000,0.8284,0.7317,0.7124,0.7774,0.7434,0.074,1.1454,0.2719,0.5827,0.5087
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_6_18_nodes_full_data.csv,3,16,0,20000,0.9057,0.8231,0.8574,0.7751,0.8141,0.228,0.5971,0.2325,0.338,0.566
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_7_18_nodes_full_data.csv,3,16,0,20000,0.8416,0.7683,0.791,0.7293,0.7589,0.1482,0.723,0.1168,0.3868,0.535
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_8_18_nodes_full_data.csv,3,16,0,20000,0.8244,0.7784,0.7916,0.7559,0.7733,0.3061,0.5148,0.1334,0.3248,0.6309
