model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,19000,10,9090,9910,0.4897,0.3413,0.3182,0.2537,0.7433
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_0_18_nodes_full_data.csv,19000,20,11494,7506,0.544,0.2519,0.2567,0.1832,0.7272
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_1_18_nodes_full_data.csv,19000,20,12218,6782,0.651,3.3531,0.3294,0.9276,0.2766
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_2_18_nodes_full_data.csv,19000,20,12758,6242,0.4955,2.3487,0.3369,0.8629,0.3674
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_3_18_nodes_full_data.csv,19000,20,11681,7319,0.7812,5.5106,0.3797,0.9544,0.1732
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_4_18_nodes_full_data.csv,19000,20,7471,11529,0.3916,0.5431,0.16,0.4654,0.857
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_5_18_nodes_full_data.csv,19000,20,7752,11248,0.6345,0.2705,0.2073,0.2353,0.8698
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_6_18_nodes_full_data.csv,19000,20,9300,9700,0.6331,4.4675,0.1713,0.8157,0.1826
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_7_18_nodes_full_data.csv,19000,20,10236,8764,0.6826,0.1763,0.2822,0.1461,0.8286
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_8_18_nodes_full_data.csv,19000,20,8958,10042,0.7347,8.7606,0.1048,0.8293,0.0947
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_9_18_nodes_full_data.csv,19000,20,14608,4392,0.6842,3.2665,0.3806,0.9861,0.3019
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_0_18_nodes_full_data.csv,19000,40,13079,5921,0.467,2.0191,0.3313,0.9252,0.4582
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_1_18_nodes_full_data.csv,19000,40,8186,10814,0.0385,0.4416,0.0387,0.0304,0.0689
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_2_18_nodes_full_data.csv,19000,40,9996,9004,0.8027,7.6752,0.4363,0.9229,0.1202
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_3_18_nodes_full_data.csv,19000,40,6042,12958,0.676,0.2915,0.3706,0.2781,0.9542
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_4_18_nodes_full_data.csv,19000,40,12448,6552,0.4025,1.8815,0.2411,0.8591,0.4566
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_5_18_nodes_full_data.csv,19000,40,8333,10667,0.7776,0.1765,0.2782,0.1667,0.9443
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_6_18_nodes_full_data.csv,19000,40,7229,11771,0.5562,0.3917,0.3066,0.3581,0.9142
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_7_18_nodes_full_data.csv,19000,40,6563,12437,0.5698,0.3628,0.2796,0.3244,0.8943
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_8_18_nodes_full_data.csv,19000,40,9686,9314,0.9,0.0524,0.4422,0.0498,0.9498
FairPFN,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_9_18_nodes_full_data.csv,19000,40,6558,12442,0.2166,1.4764,0.3795,0.6711,0.4546
