model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_8_18_nodes_full_data.csv,3,16,20,20000,0.9884,0.9416,0.9492,0.9331,0.9411,0.0535,0.8967,0.0222,0.4648,0.5183
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_9_18_nodes_full_data.csv,3,16,20,20000,0.9321,0.8485,0.8728,0.8159,0.8434,0.0049,1.0106,0.0419,0.4699,0.465
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_0_18_nodes_full_data.csv,3,16,40,20000,0.8699,0.7902,0.8016,0.7714,0.7862,0.5178,3.328,0.4389,0.7402,0.2224
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_1_18_nodes_full_data.csv,3,16,40,20000,0.5131,0.5057,0.5046,0.6291,0.56,0.0548,0.9158,0.0584,0.5959,0.6507
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_2_18_nodes_full_data.csv,3,16,40,20000,0.9903,0.9483,0.9485,0.9481,0.9483,0.0602,0.8864,0.0215,0.4697,0.53
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_3_18_nodes_full_data.csv,3,16,40,20000,0.9482,0.8776,0.9054,0.8433,0.8732,0.1056,1.2558,0.014,0.5185,0.4129
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_4_18_nodes_full_data.csv,3,16,40,20000,0.9436,0.8679,0.8802,0.8517,0.8657,0.7081,6.4697,0.4127,0.8376,0.1295
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_5_18_nodes_full_data.csv,3,16,40,20000,0.9879,0.9484,0.9637,0.9318,0.9475,0.3525,2.1461,0.0121,0.66,0.3075
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_6_18_nodes_full_data.csv,3,16,40,20000,0.9581,0.9012,0.9153,0.8842,0.8995,0.5478,0.2762,0.2263,0.209,0.7568
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_7_18_nodes_full_data.csv,3,16,40,20000,0.9535,0.9054,0.9425,0.8635,0.9013,0.6081,4.9487,0.3153,0.7621,0.154
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_8_18_nodes_full_data.csv,3,16,40,20000,0.9968,0.9713,0.9699,0.9727,0.9713,0.1518,1.3567,0.0088,0.5773,0.4255
CFFair,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_9_18_nodes_full_data.csv,3,16,40,20000,0.8374,0.7863,0.8525,0.6923,0.7641,0.4466,3.4456,0.4792,0.6292,0.1826
