model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_9_18_nodes_full_data.csv,19000,10,9090,9910,0.3782,0.399,0.0332,0.2511,0.6293
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_0_18_nodes_full_data.csv,19000,20,11494,7506,0.419,0.33,0.0812,0.2064,0.6254
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_1_18_nodes_full_data.csv,19000,20,12218,6782,0.6478,3.0856,0.5153,0.9584,0.3106
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_2_18_nodes_full_data.csv,19000,20,12758,6242,0.2802,1.7012,0.0027,0.6799,0.3997
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_3_18_nodes_full_data.csv,19000,20,11681,7319,0.1231,1.1411,0.0569,0.9959,0.8728
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_4_18_nodes_full_data.csv,19000,20,7471,11529,0.3052,0.5169,0.2719,0.3266,0.6318
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_5_18_nodes_full_data.csv,19000,20,7752,11248,0.3005,0.5374,0.2035,0.349,0.6495
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_6_18_nodes_full_data.csv,19000,20,9300,9700,0.3037,1.4383,0.008,0.9966,0.6929
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_7_18_nodes_full_data.csv,19000,20,10236,8764,0.4727,0.285,0.1322,0.1884,0.6611
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_8_18_nodes_full_data.csv,19000,20,8958,10042,0.1448,1.3363,0.1727,0.5754,0.4306
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_9_18_nodes_full_data.csv,19000,20,14608,4392,0.1635,1.3398,0.071,0.6446,0.4811
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_0_18_nodes_full_data.csv,19000,40,13079,5921,0.0745,1.0806,0.0281,1.0,0.9255
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_1_18_nodes_full_data.csv,19000,40,8186,10814,0.0901,1.4342,0.0613,0.2977,0.2075
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_2_18_nodes_full_data.csv,19000,40,9996,9004,0.3225,2.5368,0.1533,0.5324,0.2099
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_3_18_nodes_full_data.csv,19000,40,6042,12958,0.4349,0.478,0.4604,0.3983,0.8332
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_4_18_nodes_full_data.csv,19000,40,12448,6552,0.2743,1.6227,0.0877,0.7149,0.4406
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_5_18_nodes_full_data.csv,19000,40,8333,10667,0.3232,0.5141,0.1846,0.342,0.6652
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_6_18_nodes_full_data.csv,19000,40,7229,11771,0.3104,0.5079,0.0829,0.3204,0.6308
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_7_18_nodes_full_data.csv,19000,40,6563,12437,0.0831,0.8644,0.2437,0.5299,0.613
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_8_18_nodes_full_data.csv,19000,40,9686,9314,0.2135,0.6144,0.1076,0.3402,0.5538
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_9_18_nodes_full_data.csv,19000,40,6558,12442,0.7856,0.1696,0.7821,0.1604,0.946
