model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_4_18_nodes_full_data.csv,3,16,0,20000,0.9109,0.8293,0.8406,0.8126,0.8264,0.3105,0.5137,0.1644,0.3279,0.6384
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_5_18_nodes_full_data.csv,3,16,0,20000,0.9945,0.96,0.9672,0.9523,0.9597,0.6239,4.4531,0.1256,0.8046,0.1807
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_6_18_nodes_full_data.csv,3,16,0,20000,0.9837,0.9317,0.9301,0.9335,0.9318,0.5811,0.2666,0.1445,0.2112,0.7923
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_7_18_nodes_full_data.csv,3,16,0,20000,0.9073,0.8239,0.8348,0.8078,0.8211,0.3294,0.492,0.2393,0.319,0.6484
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_8_18_nodes_full_data.csv,3,16,0,20000,0.8651,0.7897,0.7861,0.7961,0.7911,0.4175,0.4166,0.2356,0.2981,0.7156
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_9_18_nodes_full_data.csv,3,16,0,20000,0.992,0.955,0.9645,0.9447,0.9545,0.1725,1.4276,0.0244,0.576,0.4035
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,3,16,10,20000,0.9817,0.9303,0.9426,0.9164,0.9293,0.5597,3.7147,0.2746,0.7659,0.2062
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,3,16,10,20000,0.9814,0.9285,0.9324,0.924,0.9282,0.5498,0.286,0.1726,0.2203,0.7701
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_2_18_nodes_full_data.csv,3,16,10,20000,0.9884,0.9416,0.94,0.9434,0.9417,0.1631,1.3879,0.0037,0.5834,0.4204
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_3_18_nodes_full_data.csv,3,16,10,20000,0.9904,0.9469,0.9429,0.9514,0.9471,0.556,0.2891,0.0815,0.2262,0.7821
