model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,3,6,20,10000,0.5692,0.5353,0.5316,0.5947,0.5614,0.186,0.7148,0.2739,0.4661,0.6521
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_0_18_nodes_full_data.csv,3,16,0,20000,0.8321,0.7127,0.6828,0.7944,0.7344,0.0554,1.0999,0.1867,0.6094,0.554
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_1_18_nodes_full_data.csv,3,16,0,20000,0.4411,0.4354,0.4474,0.5496,0.4932,0.1157,0.8278,0.118,0.5563,0.672
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_2_18_nodes_full_data.csv,3,16,0,20000,0.6965,0.5112,0.9173,0.0245,0.0478,0.0258,0.0161,0.0337,0.0004,0.0263
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_3_18_nodes_full_data.csv,3,16,0,20000,0.8291,0.7333,0.6799,0.8815,0.7677,0.0056,1.0087,0.0099,0.651,0.6454
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_4_18_nodes_full_data.csv,3,16,0,20000,0.8596,0.7761,0.7657,0.7957,0.7804,0.1392,0.7637,0.0133,0.4499,0.5891
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_5_18_nodes_full_data.csv,3,16,0,20000,0.7273,0.6432,0.6131,0.776,0.685,0.1698,1.3099,0.0112,0.7178,0.548
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_6_18_nodes_full_data.csv,3,16,0,20000,0.7492,0.6682,0.6653,0.6769,0.671,0.063,0.8833,0.1445,0.4773,0.5403
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_7_18_nodes_full_data.csv,3,16,0,20000,0.7313,0.664,0.6049,0.946,0.7379,0.0562,1.0745,0.0216,0.8101,0.7539
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_8_18_nodes_full_data.csv,3,16,0,20000,0.6734,0.6023,0.5872,0.6885,0.6338,0.2354,0.6658,0.1606,0.4689,0.7042
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_9_18_nodes_full_data.csv,3,16,0,20000,0.6511,0.5843,0.5801,0.6102,0.5948,0.1654,0.7283,0.099,0.4433,0.6086
SRCVAE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,3,16,10,20000,0.6223,0.5855,0.5846,0.5905,0.5876,0.0254,0.951,0.2475,0.4924,0.5177
