model_name,name_dataset,n_S,n_X,n_U,total_samples,ROC_AUC,Accuracy,Precision,Recall,F1_Score,Statistical_Parity_Diff_(ATE),Disparate_Impact_Ratio,Equal_Opportunity_Diff,Pos_Rate_S1,Pos_Rate_S0
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_5_8_nodes_full_data.csv,3,6,20,10000,0.9774,0.9161,0.9057,0.9289,0.9172,0.1911,1.4572,0.0491,0.6089,0.4179
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_6_8_nodes_full_data.csv,3,6,20,10000,0.7449,0.6726,0.662,0.7051,0.6829,0.2202,1.5213,0.1094,0.6427,0.4224
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_7_8_nodes_full_data.csv,3,6,20,10000,0.982,0.9257,0.9258,0.9256,0.9257,0.0871,1.1909,0.0134,0.5435,0.4563
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_8_8_nodes_full_data.csv,3,6,20,10000,0.8687,0.7821,0.8426,0.6938,0.761,0.1149,0.7551,0.1177,0.3542,0.469
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_10_base_nodes_u_2p0_seed_9_8_nodes_full_data.csv,3,6,20,10000,0.9464,0.8742,0.9644,0.7771,0.8607,0.4551,3.5884,0.2985,0.631,0.1758
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_0_18_nodes_full_data.csv,3,16,0,20000,0.9946,0.965,0.9606,0.9698,0.9652,0.2206,0.6414,0.0167,0.3946,0.6153
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_1_18_nodes_full_data.csv,3,16,0,20000,0.98,0.9196,0.9072,0.9349,0.9208,0.3041,1.8371,0.0055,0.6674,0.3633
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_2_18_nodes_full_data.csv,3,16,0,20000,0.8668,0.7878,0.804,0.7613,0.782,0.6183,0.2092,0.5435,0.1635,0.7819
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_3_18_nodes_full_data.csv,3,16,0,20000,0.8909,0.7704,0.7127,0.9062,0.7979,0.063,0.9056,0.0374,0.6043,0.6673
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_4_18_nodes_full_data.csv,3,16,0,20000,0.8841,0.8011,0.7921,0.8164,0.8041,0.2057,0.6671,0.058,0.4124,0.6181
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_5_18_nodes_full_data.csv,3,16,0,20000,0.989,0.9411,0.9405,0.9418,0.9411,0.6126,4.1472,0.1389,0.8073,0.1947
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_6_18_nodes_full_data.csv,3,16,0,20000,0.9825,0.9228,0.9438,0.8992,0.9209,0.5631,0.257,0.16,0.1948,0.7578
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_7_18_nodes_full_data.csv,3,16,0,20000,0.9148,0.8315,0.8639,0.7869,0.8236,0.3519,0.4425,0.2756,0.2793,0.6312
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_8_18_nodes_full_data.csv,3,16,0,20000,0.8796,0.8013,0.812,0.7842,0.7979,0.4363,0.3781,0.2722,0.2653,0.7016
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p0_seed_9_18_nodes_full_data.csv,3,16,0,20000,0.9861,0.9386,0.9657,0.9096,0.9368,0.1861,1.4925,0.0515,0.564,0.3779
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_0_18_nodes_full_data.csv,3,16,10,20000,0.978,0.9204,0.9746,0.8634,0.9156,0.6102,5.4308,0.4401,0.748,0.1377
CLAIRE,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_0p5_seed_1_18_nodes_full_data.csv,3,16,10,20000,0.968,0.9011,0.9225,0.8758,0.8985,0.5203,0.2917,0.2101,0.2142,0.7345
