model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_1_18_nodes_full_data.csv,19000,20,12218,6782,0.7171,4.0444,0.3811,0.9527,0.2356
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_2_18_nodes_full_data.csv,19000,20,12758,6242,0.7245,4.2465,0.4372,0.9476,0.2232
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_3_18_nodes_full_data.csv,19000,20,11681,7319,0.7934,5.5383,0.3127,0.9682,0.1748
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_4_18_nodes_full_data.csv,19000,20,7471,11529,0.8236,0.1714,0.1916,0.1704,0.994
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_5_18_nodes_full_data.csv,19000,20,7752,11248,0.749,0.2028,0.0877,0.1905,0.9395
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_6_18_nodes_full_data.csv,19000,20,9300,9700,0.8188,12.8984,0.4286,0.8876,0.0688
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_7_18_nodes_full_data.csv,19000,20,10236,8764,0.7924,0.0883,0.3103,0.0768,0.8692
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_8_18_nodes_full_data.csv,19000,20,8958,10042,0.808,13.0237,0.2858,0.8752,0.0672
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_1p0_seed_9_18_nodes_full_data.csv,19000,20,14608,4392,0.6771,3.1377,0.3173,0.9939,0.3167
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_0_18_nodes_full_data.csv,19000,40,13079,5921,0.695,3.6017,0.471,0.9622,0.2671
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_1_18_nodes_full_data.csv,19000,40,8186,10814,0.0659,0.875,0.0591,0.4614,0.5274
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_2_18_nodes_full_data.csv,19000,40,9996,9004,0.8479,9.7833,0.3635,0.9445,0.0965
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_3_18_nodes_full_data.csv,19000,40,6042,12958,0.7459,0.2462,0.3494,0.2436,0.9896
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_4_18_nodes_full_data.csv,19000,40,12448,6552,0.75,4.1929,0.3455,0.9849,0.2349
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_5_18_nodes_full_data.csv,19000,40,8333,10667,0.8868,0.1081,0.2328,0.1075,0.9944
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_6_18_nodes_full_data.csv,19000,40,7229,11771,0.8006,0.1786,0.3985,0.1741,0.9747
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_7_18_nodes_full_data.csv,19000,40,6563,12437,0.7988,0.1849,0.3202,0.1812,0.98
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_8_18_nodes_full_data.csv,19000,40,9686,9314,0.9065,0.0472,0.2181,0.0449,0.9514
XGBoost,SF_Large_Sample_Size_Dataset_Linear_ReLU_50%_20_base_nodes_u_2p0_seed_9_18_nodes_full_data.csv,19000,40,6558,12442,0.5108,5.6651,0.7109,0.6202,0.1095
